SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
2;37;1;1;2;13;4;1;3;2;3
1;66;5;2;6;6;2;2;0;0;4
1;73;5;3;5;12;1;2;0;0;1
2;56;2;1;4;7;2;4;0;0;5
1;53;4;2;98;4;4;1;1;1;3
1;40;1;21;3;13;4;1;1;1;2
1;52;2;2;6;11;1;1;1;1;9
1;46;2;1;4;7;5;1;1;3;2
1;37;1;1;1;7;4;1;1;8;5
2;45;1;1;1;7;5;1;1;2;4
2;72;1;2;5;9;1;2;0;0;2
2;42;4;2;6;5;2;1;2;1;4
2;42;2;21;5;7;2;1;1;3;2
2;51;2;2;5;11;5;1;1;3;2
1;80;2;901;1;2;5;2;0;0;4
2;62;1;1;4;11;1;2;0;0;2
1;63;1;1;5;14;4;1;1;2;2
2;27;1;1;3;13;4;1;1;2;3
1;56;1;2;10;12;2;1;1;6;2
2;30;1;1;3;15;6;1;3;2;5
2;30;1;1;99;5;5;1;1;5;5
1;40;1;21;3;13;6;1;1;2;1
2;45;4;1;3;11;2;1;1;1;3
2;24;1;21;1;13;6;1;1;4;4
2;47;2;3;10;9;5;1;1;5;1
1;87;2;2;5;11;1;2;0;0;4
2;51;5;2;8;11;1;1;1;2;3
1;58;1;1;2;6;5;2;0;0;1
2;60;2;1;3;9;2;1;1;2;2
1;50;5;2;8;12;2;1;1;2;1
1;61;4;2;5;6;9;4;0;0;8
2;42;1;21;3;14;6;1;1;2;4
2;52;1;1;3;11;4;1;1;3;5
2;56;2;2;5;11;4;1;3;2;5
2;36;1;1;5;13;2;1;1;2;1
1;68;5;1;5;11;1;1;3;3;6
2;61;1;1;3;11;5;2;0;0;4
1;59;2;1;1;2;3;1;1;9;5
1;50;2;1;1;4;4;1;1;5;3
1;59;2;2;5;4;2;4;0;0;4
1;50;2;1;2;7;4;1;1;7;2
2;57;5;3;8;7;6;2;0;0;2
1;69;1;1;3;11;6;2;0;0;2
2;60;1;1;4;9;2;1;1;2;3
1;43;2;3;99;7;2;1;1;2;4
2;67;2;1;3;13;4;2;0;0;4
2;28;2;21;4;10;2;1;1;5;4
2;57;1;1;2;14;6;1;1;2;2
2;22;2;21;5;6;4;6;0;0;2
1;42;1;901;4;0;6;1;1;1;9
1;54;1;21;2;9;6;1;1;2;2
1;51;2;2;7;12;4;1;1;2;3
2;39;2;21;1;5;6;1;1;8;4
1;43;2;2;6;4;3;1;1;9;8
1;49;1;2;7;6;2;1;3;5;1
2;50;2;1;4;6;6;1;6;1;5
1;21;1;21;3;10;4;8;0;0;4
1;61;2;2;5;13;4;1;1;3;3
1;43;2;1;3;4;6;1;1;7;4
2;42;2;21;2;9;5;4;0;0;6
2;46;2;1;1;5;2;1;1;4;3
1;54;2;1;5;4;4;1;1;5;3
2;47;2;1;3;11;3;4;0;0;4
1;56;4;2;6;9;1;1;1;2;2
2;20;2;21;1;6;4;6;0;0;6
2;33;2;2;7;14;2;1;1;2;2
2;41;5;2;6;6;2;1;1;99;9
2;74;2;2;7;11;1;1;3;2;5
2;70;1;901;2;5;5;2;0;0;9
1;49;2;2;4;6;4;1;1;10;3
2;35;2;21;2;7;6;1;1;4;5
2;35;2;2;7;13;2;1;1;4;4
2;67;1;1;1;6;5;2;0;0;2
2;37;1;1;7;7;2;1;1;8;4
1;42;1;21;1;7;6;1;1;3;9
1;51;1;1;4;11;6;1;1;1;1
1;53;1;1;4;8;6;1;3;1;1
1;36;1;21;2;4;4;1;1;5;2
1;53;2;3;8;5;5;1;3;7;3
2;46;1;1;5;13;2;1;1;2;4
1;66;2;2;7;4;2;2;0;0;4
1;32;4;3;7;15;4;1;1;3;3
1;57;4;2;7;11;1;1;3;3;1
1;70;1;902;4;9;1;2;0;0;2
2;48;1;1;2;10;5;1;1;3;2
2;69;2;2;5;9;2;2;0;0;4
1;43;1;21;1;9;4;1;1;2;4
1;40;4;2;7;10;6;1;1;2;3
2;29;2;3;8;10;2;1;1;2;2
2;90;4;2;8;9;1;2;0;0;2
